front,hl,word,meaning,sentence,analogy
"仁","仁","仁","仁","若圣与仁，则吾岂敢？","王力《古代汉语》"
"义","义","义","合理的事，应该做的事。跟仁一样，这是封建的伦理道德之一。","闻义不能徙，不善不能改，是吾忧也。","王力《古代汉语》"
"道","道","道","路，道路。战国策齐策四：\""民扶老携幼，迎君～中。","交邻国有道乎？","王力《古代汉语》"
"德","德","德","道德，修养。论语子罕：\""吾未见好～如好色者也。","吾未见好德如好色者也。","王力《古代汉语》"
"文","文","文","彩色交错为文。孟子告子上：\""令闻广誉施於身，所以不愿人之～绣也。","圣贤书辞，总称文章，非采而何？","王力《古代汉语》"
"质","质","质","读zhì，抵押。战国策赵策四：\""必以长安君为～，兵乃出。","必以长安君为质，兵乃出。","王力《古代汉语》"
"色","色","色","脸上的气色，表情。孟子梁惠王上：\""民有饥～。","民有饥色。","王力《古代汉语》"
"臭","臭","臭","读xiù气味。周易系辞上：\""其～如兰。","引申为坏的气味，","王力《古代汉语》"
"先","先","先","动词。先行，先做某事。","会请先。","王力《古代汉语》"
"前","前","前","动词。向前，前进。","酒酣，起前，以千金为鲁连寿。","王力《古代汉语》"
"后","后","后","动词。走在后面，落后。","子路从而后。","王力《古代汉语》"
"内","内","内","内，内室。诗经唐风山有枢：\""子有廷～，弗洒弗埽。","洒埽廷内。","王力《古代汉语》"
"外","外","外","外","内","王力《古代汉语》"
"间","间","间","读jiàn。夹缝，间隙。","肉食者谋之，又何间焉？","王力《古代汉语》"
"行","行","行","名词。道路。","遵彼微行。","王力《古代汉语》"
"走","走","走","跑，逃跑。战国策楚策一：\""兽见之皆～。","兽见之皆走。","王力《古代汉语》"
"出","出","出","出","入","王力《古代汉语》"
"入","入","入","进，进去，进来。孟子滕文公上：\""三过其门而不～。","三过其门而不入。","王力《古代汉语》"
"之","之","之","动词。到〔某地〕去。","牛何之？","王力《古代汉语》"
"适","适","适","动词。到〔某地〕去。","子适卫。","王力《古代汉语》"
"进","进","进","向前走，推进。跟\""退\""相对。","退","王力《古代汉语》"
"退","退","退","向后走，后退。跟\""进\""相对。","吾退而寒之者至矣。","王力《古代汉语》"
"逾","逾","逾","逾","无逾我墙。","王力《古代汉语》"
"逸","逸","逸","逃走。左传桓公八年：\""随侯～。","清新庾开府，俊逸鲍参军。","王力《古代汉语》"
"逼","逼","逼","逼","禽兽逼人。","王力《古代汉语》"
"决","决","决","打开缺口，导引水流。孟子滕文公上：\""～汝汉，排淮泗，而注之江。","决汝汉，排淮泗，而注之江。","王力《古代汉语》"
"治","治","治","旧读平声(chí)。治水，防御它或疏导它。","禹之治水，水之道也。","王力《古代汉语》"
"树","树","树","种植，栽种。动词。","五亩之宅，树之以桑。","王力《古代汉语》"
"事","事","事","事情。孟子梁惠王上：\""齐桓晋文之～，可得闻乎？","齐桓晋文之事，可得闻乎？","王力《古代汉语》"
"畜","畜","畜","读xù。养。","鸡豚狗彘之畜，无失其时。","王力《古代汉语》"
"保","保","保","保","若保赤子。","王力《古代汉语》"
"爱","爱","爱","爱。左传隐公元年：\""～其母。","爱其母。","王力《古代汉语》"
"伤","伤","伤","受伤，特指战斗时遭受创伤。左传成公二年：\""郤克～於矢。","损害了什么","王力《古代汉语》"
"害","害","害","损害，伤害。左传僖公三十年：\""君亦无所～。","君亦无所害。","王力《古代汉语》"
"比","比","比","摆在一起。文心雕龙情采：\""五音～而成韶夏。","试使山东之国与陈涉度长絜大，比权量力，则不可同年而语矣。","王力《古代汉语》"
"喻","喻","喻","晓得，了解。战国策魏策四：\""寡人～矣。","寡人喻矣。","王力《古代汉语》"
"诚","诚","诚","真心，不诡诈，不虚伪。跟\""诈\""相对，又跟\""伪\""相对。","诈","王力《古代汉语》"
"伪","伪","伪","伪","人之性恶，其善者伪也。","王力《古代汉语》"
"善","善","善","好，指美好。庄子逍遥游：\""夫列子御风而行，泠然～也。","夫列子御风而行，泠然善也。","王力《古代汉语》"
"淫","淫","淫","过分而不得当，过度。战国策楚策四：\""专～逸侈靡。","专淫逸侈靡。","王力《古代汉语》"
"凶","凶","凶","不吉利。跟\""吉\""相对。","吉","王力《古代汉语》"
"疏","疏","疏","稀疏。跟\""密\""相对，又跟\""数\""相对。","天网恢恢，疏而不失。","王力《古代汉语》"
"戚","戚","戚","兵器之一种，像大斧。诗经大雅公刘：\""弓矢斯张，干戈～扬。","刑天舞干戚。","王力《古代汉语》"
"饥","饥","饥","饥","因之以饥馑。","王力《古代汉语》"
"孰","孰","孰","熟，煮熟了的。左传宣公二年：\""宰夫腼熊蹯不～。","宰夫腼熊蹯不孰。","王力《古代汉语》"
"滋","滋","滋","增益，增长。左传隐公元年：\""无使～蔓。","无使滋蔓。","王力《古代汉语》"
"烈","烈","烈","火猛。左传昭公二十年：\""夫火～，民望而畏之，故鲜死焉。","白刃交於前，视死若生者，烈士之勇也。","王力《古代汉语》"
"赡","赡","赡","赡","以力服人者，非心服也，力不赡也。","王力《古代汉语》"
"共","共","共","读gǒng，上声。通\""拱\""。","拱","王力《古代汉语》"
"同","同","同","同","异","王力《古代汉语》"
"殊","殊","殊","死。汉书高帝纪：\""其赦天下～死以下。","军皆殊死战，不可败。","王力《古代汉语》"
"异","异","异","不同。跟\""同\""相对。","异日","王力《古代汉语》"
"斤","斤","斤","斧子一类的工具。孟子梁惠王上：\""斧～以时入山林。","斧斤以时入山林。","王力《古代汉语》"
"钧","钧","钧","三十斤。孟子梁惠王上：\""吾力足以举百～。","吾力足以举百钧。","王力《古代汉语》"
"锺","锺","锺","量名。六斛四斗。","兄戴，盖禄万锺。","王力《古代汉语》"
"倍","倍","倍","背向，背着。战国策赵策三：\""天子吊，主人必将～殡柩。","天子吊，主人必将倍殡柩。","王力《古代汉语》"
"政","政","政","政","卫君待子而为政。","王力《古代汉语》"
"教","教","教","动词。教导。","教以慎於接物，推贤进士为务。","王力《古代汉语》"
